work_package_id,project_id,control_account_id,work_package_name,discipline,work_type,ev_technique,completion_status,planned_start_date,planned_finish_date,actual_start_date,actual_finish_date,phase,risk_level,procurement_method,technical_category,responsible_engineer,specification_reference,drawing_number,inspection_class,environmental_permit_required,safety_classification,location_code,subcontractor_id,notes,wbs_level,wp_global_seq
WP-001,P001,CA-P001-01,Civil WP 01 — Construction,Civil,Procurement,0_100,in_progress,2023-11-30,2024-07-07,2023-12-03,,Construction,Medium,Direct Labor,Civil,ENG-P001-0001,SPEC-P001-001-REV1,DWG-P001-01-001,C,False,High,LOC-P001-744,,,3,1
WP-002,P001,CA-P001-01,Civil WP 02 — Construction,Civil,Engineering,percent_complete,in_progress,2023-10-10,2024-04-06,2023-10-19,,Construction,Medium,Purchase Order,Environmental,ENG-P001-0002,SPEC-P001-002-REV2,DWG-P001-01-002,B,True,Elevated,LOC-P001-206,,Schedule risk,3,2
WP-003,P001,CA-P001-01,Civil WP 03 — Construction,Civil,Engineering,0_100,complete,2023-10-31,2024-06-15,2023-11-04,2024-06-13,Construction,High,Rental,Electrical,ENG-P001-0003,SPEC-P001-003-REV3,DWG-P001-01-003,A,True,Elevated,LOC-P001-911,,,3,3
WP-004,P001,CA-P001-01,Civil WP 04 — Construction,Civil,Construction,percent_complete,complete,2023-11-14,2024-03-26,2023-11-25,2024-04-02,Construction,Critical,Subcontract,Environmental,ENG-P001-0004,SPEC-P001-004-REV2,DWG-P001-01-004,B,False,Standard,LOC-P001-625,,,3,4
WP-005,P001,CA-P001-01,Civil WP 05 — Construction,Civil,Construction,percent_complete,in_progress,2023-11-16,2024-04-24,2023-11-27,,Construction,High,Direct Labor,Environmental,ENG-P001-0005,SPEC-P001-005-REV1,DWG-P001-01-005,A,True,Elevated,LOC-P001-369,,,3,5
WP-006,P001,CA-P001-02,Electrical WP 01 — Preliminary Design,Electrical,Procurement,percent_complete,not_started,2023-11-26,2024-06-20,,,Preliminary Design,Medium,Subcontract,Geotechnical,ENG-P001-0006,SPEC-P001-006-REV1,DWG-P001-02-001,A,False,High,LOC-P001-541,,,3,6
WP-007,P001,CA-P001-02,Electrical WP 02 — Preliminary Design,Electrical,Engineering,percent_complete,in_progress,2023-11-03,2024-04-25,2023-11-14,,Preliminary Design,Critical,Subcontract,Mechanical,ENG-P001-0007,SPEC-P001-007-REV1,DWG-P001-02-002,B,False,High,LOC-P001-588,,,3,7
WP-008,P001,CA-P001-02,Electrical WP 03 — Preliminary Design,Electrical,Commissioning,percent_complete,complete,2023-10-09,2024-05-16,2023-10-18,2024-05-28,Preliminary Design,Critical,Rental,Mechanical,ENG-P001-0008,SPEC-P001-008-REV1,DWG-P001-02-003,B,True,High,LOC-P001-312,,,3,8
WP-009,P001,CA-P001-02,Electrical WP 04 — Preliminary Design,Electrical,Engineering,0_100,in_progress,2023-10-03,2024-02-14,2023-10-15,,Preliminary Design,Critical,Purchase Order,Mechanical,ENG-P001-0009,SPEC-P001-009-REV2,DWG-P001-02-004,B,False,High,LOC-P001-941,SUB-5797,,3,9
WP-010,P001,CA-P001-02,Electrical WP 05 — Preliminary Design,Electrical,Management,0_100,complete,2023-10-03,2024-07-22,2023-10-18,2024-08-07,Preliminary Design,Low,Rental,Civil,ENG-P001-0010,SPEC-P001-010-REV2,DWG-P001-02-005,B,False,Standard,LOC-P001-401,SUB-6954,,3,10
WP-011,P001,CA-P001-03,Structural WP 01 — Construction,Structural,Engineering,0_100,in_progress,2023-11-14,2024-07-10,2023-11-16,,Construction,Low,Direct Labor,Civil,ENG-P001-0011,SPEC-P001-011-REV3,DWG-P001-03-001,C,True,Standard,LOC-P001-430,,,3,11
WP-012,P001,CA-P001-03,Structural WP 02 — Construction,Structural,Procurement,0_100,not_started,2023-11-06,2024-03-12,,,Construction,High,Subcontract,Structural,ENG-P001-0012,SPEC-P001-012-REV3,DWG-P001-03-002,A,True,Standard,LOC-P001-218,,,3,12
WP-013,P001,CA-P001-03,Structural WP 03 — Construction,Structural,Commissioning,percent_complete,in_progress,2023-10-19,2024-04-18,2023-11-02,,Construction,Critical,Rental,Civil,ENG-P001-0013,SPEC-P001-013-REV3,DWG-P001-03-003,A,True,High,LOC-P001-490,,,3,13
WP-014,P001,CA-P001-03,Structural WP 04 — Construction,Structural,Management,percent_complete,complete,2023-10-08,2024-07-28,2023-10-09,2024-07-27,Construction,High,Subcontract,Architectural,ENG-P001-0014,SPEC-P001-014-REV3,DWG-P001-03-004,B,False,Standard,LOC-P001-233,SUB-6705,,3,14
WP-015,P001,CA-P001-03,Structural WP 05 — Construction,Structural,Management,percent_complete,not_started,2023-11-15,2024-04-24,,,Construction,High,Rental,Electrical,ENG-P001-0015,SPEC-P001-015-REV2,DWG-P001-03-005,B,True,High,LOC-P001-696,,Pending permit,3,15
WP-016,P001,CA-P001-04,Environmental WP 01 — Testing & Commissioning,Environmental,Management,percent_complete,complete,2023-10-07,2024-03-26,2023-10-06,2024-04-13,Testing & Commissioning,Critical,Purchase Order,Mechanical,ENG-P001-0016,SPEC-P001-016-REV2,DWG-P001-04-001,A,False,Elevated,LOC-P001-202,,,3,16
WP-017,P001,CA-P001-04,Environmental WP 02 — Testing & Commissioning,Environmental,Commissioning,percent_complete,complete,2023-11-09,2024-05-14,2023-11-09,2024-05-30,Testing & Commissioning,Critical,Direct Labor,Architectural,ENG-P001-0017,SPEC-P001-017-REV1,DWG-P001-04-002,B,True,Elevated,LOC-P001-272,SUB-8421,,3,17
WP-018,P001,CA-P001-04,Environmental WP 03 — Testing & Commissioning,Environmental,Construction,percent_complete,in_progress,2023-11-25,2024-09-01,2023-12-02,,Testing & Commissioning,Medium,Direct Labor,I&C,ENG-P001-0018,SPEC-P001-018-REV1,DWG-P001-04-003,C,True,Standard,LOC-P001-847,,,3,18
WP-019,P001,CA-P001-04,Environmental WP 04 — Testing & Commissioning,Environmental,Commissioning,percent_complete,in_progress,2023-10-04,2024-06-13,2023-10-07,,Testing & Commissioning,Critical,Rental,Geotechnical,ENG-P001-0019,SPEC-P001-019-REV2,DWG-P001-04-004,A,True,High,LOC-P001-312,SUB-6782,,3,19
