contract_id,account_id,signed_date,start_date,end_date,term_months,auto_renew,status,billing_cycle,currency,list_price,negotiated_discount_pct,contracted_mrr,annual_contract_value,payment_terms_days,billing_contact_id,csm_id,legal_entity,pricing_model,committed_units,overage_rate_per_unit,unit_type,sla_tier,support_tier,implementation_included,data_region,arr,contract_owner,renewal_probability,primary_product_sku,created_by,created_at
CTR00001,ACC0001,2024-03-25,2024-04-05,2025-04-04,12,True,expired,monthly,GBP,5000.0,0.05,6750.0,81000.0,30,BIL9866,CSM01,Entity-1,mixed,0,0.0,none,platinum,enterprise,True,us-west-2,81000.0,AE07,0.66,PRD-PLAT-ENT,CSM01,2024-03-25T09:00:00Z
CTR00002,ACC0002,2024-06-23,2024-07-22,2025-07-21,12,True,active,monthly,USD,5000.0,0.05,8250.0,99000.0,30,BIL6775,CSM16,Entity-2,mixed,0,0.0,none,platinum,enterprise,True,us-west-2,99000.0,AE11,0.84,PRD-PLAT-ENT,CSM16,2024-06-23T09:00:00Z
CTR00003,ACC0003,2024-08-10,2024-08-24,2026-08-23,24,True,active,monthly,USD,5000.0,0.0,7050.0,84600.0,30,BIL8144,CSM12,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,84600.0,AE04,0.64,PRD-PLAT-ENT,CSM12,2024-08-10T09:00:00Z
CTR00004,ACC0004,2024-08-29,2024-09-18,2025-09-17,12,True,active,monthly,USD,5000.0,0.0,9500.0,114000.0,45,BIL9902,CSM05,Entity-2,mixed,0,0.0,none,platinum,enterprise,True,us-east-1,114000.0,AE14,0.71,PRD-PLAT-ENT,CSM05,2024-08-29T09:00:00Z
CTR00005,ACC0005,2023-09-28,2023-10-26,2024-10-25,12,False,expired,monthly,USD,5000.0,0.05,9250.0,111000.0,45,BIL3295,CSM13,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,111000.0,AE07,0.63,PRD-PLAT-ENT,CSM13,2023-09-28T09:00:00Z
CTR00006,ACC0005,2023-11-05,2023-11-23,2024-11-22,12,True,expired,monthly,USD,5000.0,0.05,6750.0,81000.0,45,BIL4915,CSM13,Entity-2,flat,0,0.0,none,platinum,enterprise,False,eu-west-1,81000.0,AE07,0.93,PRD-PLAT-ENT,CSM13,2023-11-05T09:00:00Z
CTR00007,ACC0006,2023-01-27,2023-02-15,2026-02-14,36,False,active,monthly,USD,5000.0,0.1,6800.0,81600.0,30,BIL3003,CSM09,Entity-5,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,81600.0,AE14,0.79,PRD-PLAT-ENT,CSM09,2023-01-27T09:00:00Z
CTR00008,ACC0007,2024-07-22,2024-08-14,2027-08-13,36,False,active,monthly,EUR,5000.0,0.15,6250.0,75000.0,30,BIL4085,CSM07,Entity-3,mixed,0,0.0,none,platinum,enterprise,True,ap-southeast-1,75000.0,AE03,0.65,PRD-PLAT-ENT,CSM07,2024-07-22T09:00:00Z
CTR00009,ACC0007,2023-03-11,2023-04-01,2024-03-31,12,True,expired,monthly,EUR,5000.0,0.05,6750.0,81000.0,30,BIL4907,CSM07,Entity-3,flat,0,0.0,none,platinum,enterprise,False,ap-southeast-1,81000.0,AE03,0.81,PRD-PLAT-ENT,CSM07,2023-03-11T09:00:00Z
CTR00010,ACC0008,2022-01-29,2022-02-24,2024-02-23,24,False,expired,monthly,USD,5000.0,0.1,6500.0,78000.0,45,BIL5725,CSM13,Entity-4,mixed,0,0.0,none,platinum,enterprise,True,eu-west-1,78000.0,AE14,0.74,PRD-PLAT-ENT,CSM13,2022-01-29T09:00:00Z
