goal_id,employee_id,department_id,goal_description,weight,completion_pct,completion_unit,recorded_date
GL-0001,EMP-0002,DEPT-001,Achieve 95-percent-plus stakeholder satisfaction score,0.3109,98.0,pct,2024-03-23
GL-0002,EMP-0002,DEPT-001,Reduce process error rate by 10 percent,0.4883,88.6,pct,2024-03-24
GL-0003,EMP-0002,DEPT-001,Complete mandatory compliance training,0.2008,49.8,pct,2024-03-14
GL-0004,EMP-0003,DEPT-001,Complete leadership development programme,0.08,51.9,pct,2024-03-27
GL-0005,EMP-0003,DEPT-001,Establish weekly reporting cadence for executive team,0.6495,63.1,pct,2024-03-09
GL-0006,EMP-0003,DEPT-001,Improve quarterly delivery velocity,0.2705,62.4,pct,2024-03-20
GL-0007,EMP-0004,DEPT-004,Mentor two junior team members,0.1673,69.7,pct,2024-03-16
GL-0008,EMP-0004,DEPT-004,Complete product certification or professional qualification,0.5467,42.5,pct,2024-03-29
GL-0009,EMP-0004,DEPT-004,Reduce onboarding cycle time for new hires,0.1164,77.8,pct,2024-03-25
GL-0010,EMP-0004,DEPT-004,Complete leadership development programme,0.0347,96.5,pct,2024-03-07
GL-0011,EMP-0004,DEPT-004,Complete mandatory compliance training,0.1349,61.3,pct,2024-03-12
GL-0012,EMP-0005,DEPT-004,Achieve 95-percent-plus stakeholder satisfaction score,0.0696,62.7,pct,2024-03-30
GL-0013,EMP-0005,DEPT-004,Deliver cross-functional project milestone,0.2764,83.4,pct,2024-03-31
GL-0014,EMP-0005,DEPT-004,Mentor two junior team members,0.2902,85.6,pct,2024-03-08
GL-0015,EMP-0005,DEPT-004,Complete product certification or professional qualification,0.3637,84.1,pct,2024-03-28
GL-0016,EMP-0006,DEPT-001,Complete product certification or professional qualification,0.061,70.8,pct,2024-03-24
GL-0017,EMP-0006,DEPT-001,Improve quarterly delivery velocity,0.2388,41.4,pct,2024-03-28
GL-0018,EMP-0006,DEPT-001,Implement one process automation initiative,0.1721,44.9,pct,2024-03-21
GL-0019,EMP-0006,DEPT-001,Complete leadership development programme,0.5281,43.4,pct,2024-03-29
GL-0020,EMP-0007,DEPT-003,Complete mandatory compliance training,0.191,83.6,pct,2024-03-29
GL-0021,EMP-0007,DEPT-003,Complete product certification or professional qualification,0.4991,54.5,pct,2024-03-31
GL-0022,EMP-0007,DEPT-003,Improve quarterly delivery velocity,0.1734,59.3,pct,2024-03-14
GL-0023,EMP-0007,DEPT-003,Drive measurable cost reduction in operational budget,0.1365,56.1,pct,2024-03-08
GL-0024,EMP-0008,DEPT-002,Complete product certification or professional qualification,0.0896,67.0,pct,2024-03-17
GL-0025,EMP-0008,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.2353,68.6,pct,2024-03-17
GL-0026,EMP-0008,DEPT-002,Reduce onboarding cycle time for new hires,0.2184,47.3,pct,2024-03-14
GL-0027,EMP-0008,DEPT-002,Implement one process automation initiative,0.1647,63.0,pct,2024-03-11
GL-0028,EMP-0008,DEPT-002,Complete leadership development programme,0.2921,79.5,pct,2024-03-28
GL-0029,EMP-0009,DEPT-004,Reduce onboarding cycle time for new hires,0.0067,78.0,pct,2024-03-14
GL-0030,EMP-0009,DEPT-004,Improve quarterly delivery velocity,0.4236,58.0,pct,2024-03-21
GL-0031,EMP-0009,DEPT-004,Implement one process automation initiative,0.0474,61.6,pct,2024-03-14
GL-0032,EMP-0009,DEPT-004,Achieve 95-percent-plus stakeholder satisfaction score,0.4741,81.2,pct,2024-03-25
GL-0033,EMP-0009,DEPT-004,Complete mandatory compliance training,0.0481,84.8,pct,2024-03-14
GL-0034,EMP-0011,DEPT-001,Mentor two junior team members,0.125,53.8,pct,2024-03-27
GL-0035,EMP-0011,DEPT-001,Complete mandatory compliance training,0.7,59.8,pct,2024-03-16
GL-0036,EMP-0011,DEPT-001,Establish weekly reporting cadence for executive team,0.1751,81.9,pct,2024-03-20
GL-0037,EMP-0012,DEPT-004,Complete leadership development programme,0.1639,53.1,pct,2024-03-24
GL-0038,EMP-0012,DEPT-004,Complete mandatory compliance training,0.3621,54.1,pct,2024-03-15
GL-0039,EMP-0012,DEPT-004,Improve quarterly delivery velocity,0.1734,67.5,pct,2024-03-11
GL-0040,EMP-0012,DEPT-004,Deliver cross-functional project milestone,0.3007,49.0,pct,2024-03-14
GL-0041,EMP-0013,DEPT-003,Deliver cross-functional project milestone,0.3523,66.1,pct,2024-03-24
GL-0042,EMP-0013,DEPT-003,Complete product certification or professional qualification,0.115,58.0,pct,2024-03-22
GL-0043,EMP-0013,DEPT-003,Complete leadership development programme,0.0874,93.4,pct,2024-03-11
GL-0044,EMP-0013,DEPT-003,Reduce process error rate by 10 percent,0.4452,58.4,pct,2024-03-24
GL-0045,EMP-0014,DEPT-004,Deliver cross-functional project milestone,0.4377,97.1,pct,2024-03-14
GL-0046,EMP-0014,DEPT-004,Reduce process error rate by 10 percent,0.0974,86.4,pct,2024-03-24
GL-0047,EMP-0014,DEPT-004,Improve quarterly delivery velocity,0.4627,41.9,pct,2024-03-22
GL-0048,EMP-0014,DEPT-004,Drive measurable cost reduction in operational budget,0.0023,83.4,pct,2024-03-29
GL-0049,EMP-0015,DEPT-004,Mentor two junior team members,0.1714,97.9,pct,2024-03-24
GL-0050,EMP-0015,DEPT-004,Reduce onboarding cycle time for new hires,0.3687,77.2,pct,2024-03-18
GL-0051,EMP-0015,DEPT-004,Complete leadership development programme,0.0412,46.7,pct,2024-03-31
GL-0052,EMP-0015,DEPT-004,Establish weekly reporting cadence for executive team,0.1365,61.8,pct,2024-03-07
GL-0053,EMP-0015,DEPT-004,Reduce process error rate by 10 percent,0.2821,92.2,pct,2024-03-14
GL-0054,EMP-0016,DEPT-002,Complete leadership development programme,0.0753,71.5,pct,2024-03-13
GL-0055,EMP-0016,DEPT-002,Mentor two junior team members,0.371,91.8,pct,2024-03-31
GL-0056,EMP-0016,DEPT-002,Reduce onboarding cycle time for new hires,0.423,84.7,pct,2024-03-27
GL-0057,EMP-0016,DEPT-002,Deliver cross-functional project milestone,0.0704,54.1,pct,2024-03-27
GL-0058,EMP-0016,DEPT-002,Establish weekly reporting cadence for executive team,0.0603,73.3,pct,2024-03-11
GL-0059,EMP-0017,DEPT-004,Deliver cross-functional project milestone,0.1335,63.5,pct,2024-03-23
GL-0060,EMP-0017,DEPT-004,Complete mandatory compliance training,0.452,55.1,pct,2024-03-13
GL-0061,EMP-0017,DEPT-004,Improve quarterly delivery velocity,0.3181,98.2,pct,2024-03-30
GL-0062,EMP-0017,DEPT-004,Complete leadership development programme,0.0964,62.4,pct,2024-03-20
GL-0063,EMP-0018,DEPT-003,Achieve 95-percent-plus stakeholder satisfaction score,0.2113,68.6,pct,2024-03-30
GL-0064,EMP-0018,DEPT-003,Complete leadership development programme,0.197,58.9,pct,2024-03-10
GL-0065,EMP-0018,DEPT-003,Improve quarterly delivery velocity,0.1378,47.6,pct,2024-03-22
GL-0066,EMP-0018,DEPT-003,Mentor two junior team members,0.1791,58.5,pct,2024-03-17
GL-0067,EMP-0018,DEPT-003,Reduce onboarding cycle time for new hires,0.2748,55.2,pct,2024-03-30
GL-0068,EMP-0019,DEPT-003,Achieve 95-percent-plus stakeholder satisfaction score,0.4943,71.7,pct,2024-03-21
GL-0069,EMP-0019,DEPT-003,Mentor two junior team members,0.4785,56.7,pct,2024-03-15
GL-0070,EMP-0019,DEPT-003,Complete leadership development programme,0.0271,89.6,pct,2024-03-25
GL-0071,EMP-0020,DEPT-002,Drive measurable cost reduction in operational budget,0.5601,97.6,pct,2024-03-28
GL-0072,EMP-0020,DEPT-002,Reduce process error rate by 10 percent,0.278,54.3,pct,2024-03-24
GL-0073,EMP-0020,DEPT-002,Reduce onboarding cycle time for new hires,0.1619,81.4,pct,2024-03-30
GL-0074,EMP-0021,DEPT-002,Mentor two junior team members,0.2585,95.4,pct,2024-03-12
GL-0075,EMP-0021,DEPT-002,Drive measurable cost reduction in operational budget,0.0076,89.7,pct,2024-03-14
GL-0076,EMP-0021,DEPT-002,Implement one process automation initiative,0.7339,97.9,pct,2024-03-13
GL-0077,EMP-0022,DEPT-003,Mentor two junior team members,0.7378,82.1,pct,2024-03-23
GL-0078,EMP-0022,DEPT-003,Complete mandatory compliance training,0.0578,78.9,pct,2024-03-24
GL-0079,EMP-0022,DEPT-003,Deliver cross-functional project milestone,0.1394,58.6,pct,2024-03-30
GL-0080,EMP-0022,DEPT-003,Reduce onboarding cycle time for new hires,0.065,40.4,pct,2024-03-11
GL-0081,EMP-0023,DEPT-002,Implement one process automation initiative,0.0054,63.4,pct,2024-03-22
GL-0082,EMP-0023,DEPT-002,Establish weekly reporting cadence for executive team,0.2406,93.2,pct,2024-03-15
GL-0083,EMP-0023,DEPT-002,Complete leadership development programme,0.2416,41.0,pct,2024-03-23
GL-0084,EMP-0023,DEPT-002,Reduce onboarding cycle time for new hires,0.2616,61.5,pct,2024-03-14
GL-0085,EMP-0023,DEPT-002,Mentor two junior team members,0.2508,61.9,pct,2024-03-08
GL-0086,EMP-0024,DEPT-004,Complete product certification or professional qualification,0.2678,40.5,pct,2024-03-29
GL-0087,EMP-0024,DEPT-004,Mentor two junior team members,0.3481,70.0,pct,2024-03-08
GL-0088,EMP-0024,DEPT-004,Deliver cross-functional project milestone,0.0565,97.1,pct,2024-03-15
GL-0089,EMP-0024,DEPT-004,Establish weekly reporting cadence for executive team,0.2036,47.4,pct,2024-03-31
GL-0090,EMP-0024,DEPT-004,Reduce onboarding cycle time for new hires,0.124,41.4,pct,2024-03-25
GL-0091,EMP-0025,DEPT-001,Deliver cross-functional project milestone,0.2104,56.4,pct,2024-03-08
GL-0092,EMP-0025,DEPT-001,Reduce process error rate by 10 percent,0.1175,98.9,pct,2024-03-23
GL-0093,EMP-0025,DEPT-001,Establish weekly reporting cadence for executive team,0.1022,48.3,pct,2024-03-31
GL-0094,EMP-0025,DEPT-001,Drive measurable cost reduction in operational budget,0.5699,61.6,pct,2024-03-25
GL-0095,EMP-0026,DEPT-002,Establish weekly reporting cadence for executive team,0.3521,49.8,pct,2024-03-14
GL-0096,EMP-0026,DEPT-002,Achieve 95-percent-plus stakeholder satisfaction score,0.347,59.3,pct,2024-03-08
GL-0097,EMP-0026,DEPT-002,Reduce process error rate by 10 percent,0.3008,99.0,pct,2024-03-09
GL-0098,EMP-0027,DEPT-004,Complete leadership development programme,0.2449,95.5,pct,2024-03-07
GL-0099,EMP-0027,DEPT-004,Reduce onboarding cycle time for new hires,0.1019,52.2,pct,2024-03-27
GL-0100,EMP-0027,DEPT-004,Establish weekly reporting cadence for executive team,0.6532,46.4,pct,2024-03-28
GL-0101,EMP-0028,DEPT-001,Implement one process automation initiative,0.1597,46.7,pct,2024-03-08
GL-0102,EMP-0028,DEPT-001,Establish weekly reporting cadence for executive team,0.72,93.8,pct,2024-03-17
GL-0103,EMP-0028,DEPT-001,Drive measurable cost reduction in operational budget,0.1203,49.4,pct,2024-03-16
GL-0104,EMP-0032,DEPT-002,Implement one process automation initiative,0.0783,86.5,pct,2024-03-14
