customer_id,customer_name,region,segment,account_manager,credit_terms,onboarding_date,primary_contact_email,billing_address_line1,billing_address_city,billing_address_state,billing_address_zip,industry_code,source_system,created_at
CUST-00001,Customer Account 00001 Inc,West,Enterprise,AM-014,Net45,2016-04-15,contact00001@customer00001.example.com,8498 Commerce St,West City 2,XX,59161,RTL,CRM-Legacy,2020-12-29
CUST-00002,Customer Account 00002 Inc,Central,Mid-Market,AM-002,Prepaid,2016-06-23,contact00002@customer00002.example.com,1866 Commerce St,Central City 16,XX,39304,MFG,CRM-NextGen,2020-12-27
CUST-00003,Customer Account 00003 Inc,North,SMB,AM-041,Net45,2017-11-04,contact00003@customer00003.example.com,2044 Commerce St,North City 34,XX,55188,CON,CRM-Legacy,2016-06-18
CUST-00004,Customer Account 00004 Inc,North,SMB,AM-027,Prepaid,2018-07-21,contact00004@customer00004.example.com,4391 Commerce St,North City 15,XX,70756,CON,CRM-NextGen,2016-06-15
CUST-00005,Customer Account 00005 Inc,South,Enterprise,AM-058,Net30,2016-03-21,contact00005@customer00005.example.com,7829 Commerce St,South City 1,XX,63650,HLC,CRM-Legacy,2023-04-06
CUST-00006,Customer Account 00006 Inc,West,SMB,AM-049,Net60,2020-05-20,contact00006@customer00006.example.com,6999 Commerce St,West City 18,XX,26318,HLC,CRM-NextGen,2016-05-19
CUST-00007,Customer Account 00007 Inc,Central,Mid-Market,AM-054,Prepaid,2019-09-27,contact00007@customer00007.example.com,6911 Commerce St,Central City 21,XX,34401,AGR,CRM-Legacy,2017-11-04
CUST-00008,Customer Account 00008 Inc,West,SMB,AM-042,Net30,2022-12-23,contact00008@customer00008.example.com,4197 Commerce St,West City 1,XX,62113,RTL,CRM-NextGen,2019-11-14
CUST-00009,Customer Account 00009 Inc,North,SMB,AM-051,Net45,2020-11-19,contact00009@customer00009.example.com,8141 Commerce St,North City 9,XX,91805,RTL,Manual-Import,2021-04-02
CUST-00010,Customer Account 00010 Inc,East,Mid-Market,AM-013,Prepaid,2022-11-09,contact00010@customer00010.example.com,4880 Commerce St,East City 16,XX,44837,HLC,CRM-Legacy,2016-04-18
CUST-00011,Customer Account 00011 Inc,West,SMB,AM-015,Net60,2018-12-17,contact00011@customer00011.example.com,7548 Commerce St,West City 7,XX,52537,MFG,CRM-NextGen,2016-10-12
CUST-00012,Customer Account 00012 Inc,Central,Mid-Market,AM-039,Net45,2020-04-04,contact00012@customer00012.example.com,1756 Commerce St,Central City 20,XX,19609,RTL,CRM-NextGen,2020-02-10
CUST-00013,Customer Account 00013 Inc,South,SMB,AM-004,Net60,2016-06-23,contact00013@customer00013.example.com,9384 Commerce St,South City 17,XX,61821,MFG,CRM-Legacy,2022-06-16
CUST-00014,Customer Account 00014 Inc,South,SMB,AM-010,Prepaid,2016-05-11,contact00014@customer00014.example.com,9258 Commerce St,South City 33,XX,42392,CON,CRM-Legacy,2018-01-19
CUST-00015,Customer Account 00015 Inc,West,Mid-Market,AM-012,Net30,2022-10-21,contact00015@customer00015.example.com,6770 Commerce St,West City 34,XX,57152,RTL,CRM-Legacy,2018-11-26
CUST-00016,Customer Account 00016 Inc,Central,Enterprise,AM-015,Prepaid,2021-04-23,contact00016@customer00016.example.com,4363 Commerce St,Central City 14,XX,41909,RTL,CRM-NextGen,2023-02-10
CUST-00017,Customer Account 00017 Inc,South,SMB,AM-045,Prepaid,2016-04-27,contact00017@customer00017.example.com,310 Commerce St,South City 36,XX,23988,CON,Manual-Import,2020-02-20
CUST-00018,Customer Account 00018 Inc,North,SMB,AM-001,Net45,2020-06-19,contact00018@customer00018.example.com,9343 Commerce St,North City 33,XX,58645,CON,Manual-Import,2022-07-18
CUST-00019,Customer Account 00019 Inc,East,SMB,AM-041,Net30,2017-11-07,contact00019@customer00019.example.com,3525 Commerce St,East City 8,XX,63554,CON,Manual-Import,2020-02-13
CUST-00020,Customer Account 00020 Inc,West,SMB,AM-036,Net30,2020-06-30,contact00020@customer00020.example.com,9997 Commerce St,West City 31,XX,55582,HLC,Manual-Import,2023-01-20
CUST-00021,Customer Account 00021 Inc,South,Mid-Market,AM-007,Prepaid,2023-04-24,contact00021@customer00021.example.com,2367 Commerce St,South City 10,XX,99728,HLC,CRM-NextGen,2018-07-05
CUST-00022,Customer Account 00022 Inc,South,Mid-Market,AM-034,Net45,2016-11-19,contact00022@customer00022.example.com,7887 Commerce St,South City 35,XX,54281,RTL,CRM-NextGen,2020-05-21
CUST-00023,Customer Account 00023 Inc,East,Enterprise,AM-036,Net30,2016-10-14,contact00023@customer00023.example.com,1630 Commerce St,East City 38,XX,75701,CON,Manual-Import,2016-04-10
CUST-00024,Customer Account 00024 Inc,South,Mid-Market,AM-047,Prepaid,2016-08-13,contact00024@customer00024.example.com,8005 Commerce St,South City 27,XX,46324,TEC,CRM-Legacy,2017-09-06
CUST-00025,Customer Account 00025 Inc,South,Mid-Market,AM-052,Net30,2018-05-03,contact00025@customer00025.example.com,205 Commerce St,South City 11,XX,75136,AGR,CRM-NextGen,2021-10-19
CUST-00026,Customer Account 00026 Inc,West,Mid-Market,AM-054,Net60,2022-06-17,contact00026@customer00026.example.com,3125 Commerce St,West City 23,XX,46022,HLC,CRM-Legacy,2016-04-16
CUST-00027,Customer Account 00027 Inc,West,Mid-Market,AM-049,Net30,2021-03-10,contact00027@customer00027.example.com,2078 Commerce St,West City 22,XX,97319,MFG,CRM-NextGen,2024-03-02
CUST-00028,Customer Account 00028 Inc,South,Mid-Market,AM-049,Net45,2021-08-03,contact00028@customer00028.example.com,6231 Commerce St,South City 19,XX,27345,AGR,CRM-Legacy,2017-02-06
