contract_id,supplier_id,contract_tier,contract_effective_from,contract_effective_to,contract_superseded_by,fill_rate_sla_threshold,penalty_rate_pct,max_penalty_cap,currency,grace_period_days,auto_renew,payment_terms
CTR0001,SUP001,C,2024-01-01,2024-12-31,,0.88,0.02,59500.0,EUR,2,True,Net 30
CTR0002,SUP002,C,2024-01-01,2024-03-31,2024-02-01,0.88,0.02,59500.0,EUR,1,False,Net 30
CTR0003,SUP002,C,2024-02-01,2024-12-31,,0.88,0.04,238000.0,EUR,2,True,Net 45
CTR0004,SUP003,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,0,True,Net 30
CTR0005,SUP004,B,2024-01-01,2024-12-31,,0.93,0.03,92000.0,EUR,1,True,Net 30
CTR0006,SUP005,B,2024-01-01,2024-12-31,,0.93,0.03,92000.0,EUR,1,False,Net 60
CTR0007,SUP006,B,2024-01-01,2024-03-31,2024-02-01,0.93,0.03,79000.0,GBP,2,False,Net 45
CTR0008,SUP006,B,2024-02-01,2024-12-31,,0.93,0.05,316000.0,GBP,0,True,2/10 Net 30
CTR0009,SUP007,A,2024-01-01,2024-03-31,2024-02-01,0.97,0.04,,EUR,1,False,Net 30
CTR0010,SUP007,A,2024-02-01,2024-12-31,,0.97,0.06,,EUR,1,True,2/10 Net 30
CTR0011,SUP008,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,0,False,2/10 Net 30
CTR0012,SUP009,C,2024-01-01,2024-12-31,,0.88,0.02,65000.0,USD,0,True,Net 60
CTR0013,SUP010,A,2024-01-01,,,0.97,0.04,150000.0,USD,0,True,Net 45
CTR0014,SUP011,C,2024-01-01,,,0.88,0.02,59500.0,EUR,1,True,Net 60
CTR0015,SUP012,C,2024-01-01,2024-12-31,,0.88,0.02,51000.0,GBP,1,False,Net 45
CTR0016,SUP013,C,2024-01-01,,,0.88,0.02,65000.0,USD,1,True,Net 30
CTR0017,SUP014,C,2024-01-01,2024-12-31,,0.88,0.02,65000.0,USD,1,False,Net 45
CTR0018,SUP015,A,2024-01-01,,,0.97,0.04,150000.0,USD,2,True,2/10 Net 30
CTR0019,SUP016,A,2024-01-01,2024-12-31,,0.97,0.04,137000.0,EUR,1,True,Net 60
CTR0020,SUP017,A,2024-01-01,,,0.97,0.04,137000.0,EUR,1,True,Net 60
CTR0021,SUP018,B,2024-01-01,,,0.93,0.03,,USD,1,True,2/10 Net 30
CTR0022,SUP019,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,0,False,Net 60
CTR0023,SUP020,A,2024-01-01,,,0.97,0.04,137000.0,EUR,2,True,2/10 Net 30
CTR0024,SUP021,C,2024-01-01,2024-12-31,,0.88,0.02,65000.0,USD,0,False,Net 30
CTR0025,SUP022,C,2024-01-01,,,0.88,0.02,59500.0,EUR,1,True,Net 30
CTR0026,SUP023,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,0,False,2/10 Net 30
CTR0027,SUP024,A,2024-01-01,,,0.97,0.04,150000.0,USD,0,True,Net 30
CTR0028,SUP025,C,2024-01-01,2024-12-31,,0.88,0.02,51000.0,GBP,0,False,Net 45
CTR0029,SUP026,A,2024-01-01,,,0.97,0.04,150000.0,USD,0,True,Net 60
CTR0030,SUP027,A,2024-01-01,2024-12-31,,0.97,0.04,150000.0,USD,1,False,2/10 Net 30
CTR0031,SUP028,C,2024-01-01,2024-03-31,2024-02-01,0.88,0.02,,USD,0,False,Net 30
CTR0032,SUP028,C,2024-02-01,2024-12-31,,0.88,0.04,,USD,2,True,2/10 Net 30
CTR0033,SUP029,C,2024-01-01,2024-12-31,,0.88,0.02,,USD,1,False,2/10 Net 30
CTR0034,SUP030,A,2024-01-01,2024-03-31,2024-02-01,0.97,0.04,150000.0,USD,0,False,Net 60
CTR0035,SUP030,A,2024-02-01,2024-12-31,,0.97,0.06,600000.0,USD,0,True,Net 60
CTR0036,SUP031,C,2024-01-01,2024-12-31,,0.88,0.02,,USD,1,False,Net 45
CTR0037,SUP032,C,2024-01-01,2024-12-31,,0.88,0.02,65000.0,USD,0,True,Net 30
CTR0038,SUP033,C,2024-01-01,2024-12-31,,0.88,0.02,65000.0,USD,2,True,Net 60
CTR0039,SUP034,B,2024-01-01,2024-03-31,2024-02-01,0.93,0.03,92000.0,EUR,0,False,Net 30
CTR0040,SUP034,B,2024-02-01,2024-12-31,,0.93,0.05,368000.0,EUR,2,True,Net 45
CTR0041,SUP035,A,2024-01-01,2024-03-31,2024-02-01,0.97,0.04,137000.0,EUR,0,False,Net 60
CTR0042,SUP035,A,2024-02-01,2024-12-31,,0.97,0.06,548000.0,EUR,0,True,Net 45
CTR0043,SUP036,B,2024-01-01,,,0.93,0.03,100000.0,USD,1,True,2/10 Net 30
CTR0044,SUP037,B,2024-01-01,,,0.93,0.03,100000.0,USD,1,True,Net 45
CTR0045,SUP038,C,2024-01-01,2024-12-31,,0.88,0.02,,EUR,0,True,Net 30
CTR0046,SUP039,B,2024-01-01,,,0.93,0.03,,GBP,1,True,Net 45
CTR0047,SUP040,A,2024-01-01,2024-12-31,,0.97,0.04,118000.0,GBP,1,True,2/10 Net 30
CTR0048,SUP041,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,0,True,2/10 Net 30
CTR0049,SUP042,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,1,True,Net 45
CTR0050,SUP043,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,1,True,2/10 Net 30
CTR0051,SUP044,B,2024-01-01,2024-03-31,2024-02-01,0.93,0.03,,USD,0,False,Net 30
CTR0052,SUP044,B,2024-02-01,2024-12-31,,0.93,0.05,,USD,0,True,Net 45
CTR0053,SUP045,B,2024-01-01,,,0.93,0.03,92000.0,EUR,0,True,Net 45
CTR0054,SUP046,B,2024-01-01,2024-12-31,,0.93,0.03,100000.0,USD,1,False,Net 60
