customer_id,company_name,segment,industry,region,country,hq_city,hq_state,employee_count_band,annual_revenue_band,account_owner,source_system,referral_channel,billing_currency,tax_id,primary_contact_name,primary_contact_email,website_domain,crm_lead_score,account_tier,is_key_account,created_at
CUST-00001,Customer Account 00001 Inc,SMB,Manufacturing,APAC,Japan,Japan City 4,ST35,51-200,<$1M,AM-042,CRM-HubSpot,Conference,EUR,TAX-807457,Contact 00001,contact00001@customer00001.example.com,customer00001.example.com,52,Silver,False,2021-04-26
CUST-00002,Customer Account 00002 Inc,SMB,Media,APAC,India,India City 22,ST22,201-1000,$1M-$10M,AM-008,CRM-Salesforce,Customer Referral,GBP,TAX-844867,Contact 00002,contact00002@customer00002.example.com,customer00002.example.com,28,Gold,False,2022-07-23
CUST-00003,Customer Account 00003 Inc,SMB,Professional Services,LATAM,Argentina,Argentina City 30,ST10,51-200,$10M-$50M,AM-040,CRM-Salesforce,None,EUR,TAX-714743,Contact 00003,contact00003@customer00003.example.com,customer00003.example.com,93,Platinum,False,2022-11-02
CUST-00004,Customer Account 00004 Inc,Mid-Market,Manufacturing,North America,United States,United States City 19,ST07,1001-5000,$10M-$50M,AM-027,CRM-HubSpot,Partner,GBP,TAX-493436,Contact 00004,contact00004@customer00004.example.com,customer00004.example.com,17,Gold,False,2023-01-20
CUST-00005,Customer Account 00005 Inc,Mid-Market,Professional Services,APAC,Singapore,Singapore City 36,ST15,51-200,$50M-$250M,AM-051,CRM-Salesforce,None,GBP,TAX-106626,Contact 00005,contact00005@customer00005.example.com,customer00005.example.com,80,Silver,False,2022-12-10
CUST-00006,Customer Account 00006 Inc,SMB,Manufacturing,APAC,Japan,Japan City 2,ST07,51-200,<$1M,AM-035,CRM-Salesforce,Analyst Report,GBP,TAX-608711,Contact 00006,contact00006@customer00006.example.com,customer00006.example.com,8,Silver,False,2022-11-20
CUST-00007,Customer Account 00007 Inc,Enterprise,Retail,EMEA,Netherlands,Netherlands City 14,ST22,5000+,$1M-$10M,AM-022,CRM-HubSpot,Customer Referral,USD,TAX-310545,Contact 00007,contact00007@customer00007.example.com,customer00007.example.com,83,Standard,False,2021-02-22
CUST-00008,Customer Account 00008 Inc,SMB,Logistics,EMEA,United Kingdom,United Kingdom City 39,ST33,201-1000,$10M-$50M,AM-034,CRM-Salesforce,Conference,USD,TAX-120440,Contact 00008,contact00008@customer00008.example.com,customer00008.example.com,11,Gold,False,2021-03-23
CUST-00009,Customer Account 00009 Inc,Mid-Market,Logistics,North America,Mexico,Mexico City 20,ST35,201-1000,$10M-$50M,AM-014,CRM-Salesforce,Partner,EUR,TAX-667253,Contact 00009,contact00009@customer00009.example.com,customer00009.example.com,61,Standard,False,2021-11-22
CUST-00010,Customer Account 00010 Inc,SMB,Telecom,LATAM,Argentina,Argentina City 18,ST14,1001-5000,$250M+,AM-021,CRM-HubSpot,Analyst Report,EUR,TAX-504424,Contact 00010,contact00010@customer00010.example.com,customer00010.example.com,74,Standard,False,2021-09-03
CUST-00011,Customer Account 00011 Inc,Mid-Market,Healthcare,EMEA,Netherlands,Netherlands City 32,ST29,201-1000,<$1M,AM-037,CRM-HubSpot,Conference,USD,TAX-747515,Contact 00011,contact00011@customer00011.example.com,customer00011.example.com,67,Silver,False,2022-01-24
CUST-00012,Customer Account 00012 Inc,Mid-Market,Software,EMEA,Netherlands,Netherlands City 31,ST03,1-50,$10M-$50M,AM-015,CRM-Salesforce,Partner,EUR,TAX-193062,Contact 00012,contact00012@customer00012.example.com,customer00012.example.com,18,Standard,False,2022-06-13
CUST-00013,Customer Account 00013 Inc,SMB,Retail,EMEA,France,France City 12,ST02,1-50,$250M+,AM-034,CRM-HubSpot,Customer Referral,USD,TAX-174456,Contact 00013,contact00013@customer00013.example.com,customer00013.example.com,28,Silver,False,2022-03-14
CUST-00014,Customer Account 00014 Inc,Mid-Market,Manufacturing,EMEA,France,France City 38,ST17,201-1000,$10M-$50M,AM-068,CRM-Salesforce,Customer Referral,USD,TAX-843661,Contact 00014,contact00014@customer00014.example.com,customer00014.example.com,1,Standard,False,2023-03-18
CUST-00015,Customer Account 00015 Inc,Mid-Market,Media,North America,Canada,Canada City 10,ST33,1001-5000,$50M-$250M,AM-075,CRM-Salesforce,Analyst Report,EUR,TAX-924409,Contact 00015,contact00015@customer00015.example.com,customer00015.example.com,98,Standard,False,2021-07-27
CUST-00016,Customer Account 00016 Inc,SMB,Professional Services,North America,United States,United States City 38,ST16,51-200,$250M+,AM-051,CRM-Salesforce,Partner,GBP,TAX-330368,Contact 00016,contact00016@customer00016.example.com,customer00016.example.com,100,Standard,True,2023-04-23
CUST-00017,Customer Account 00017 Inc,SMB,Telecom,North America,Mexico,Mexico City 4,ST37,5000+,$250M+,AM-018,CRM-Salesforce,Conference,USD,TAX-384335,Contact 00017,contact00017@customer00017.example.com,customer00017.example.com,3,Silver,False,2022-11-26
CUST-00018,Customer Account 00018 Inc,Mid-Market,Education,North America,Mexico,Mexico City 1,ST46,5000+,$1M-$10M,AM-003,CRM-HubSpot,None,GBP,TAX-237955,Contact 00018,contact00018@customer00018.example.com,customer00018.example.com,75,Silver,False,2021-06-11
CUST-00019,Customer Account 00019 Inc,SMB,Retail,North America,United States,United States City 13,ST48,201-1000,$10M-$50M,AM-035,CRM-Salesforce,None,USD,TAX-306690,Contact 00019,contact00019@customer00019.example.com,customer00019.example.com,28,Silver,False,2021-04-29
CUST-00020,Customer Account 00020 Inc,SMB,Media,EMEA,UAE,UAE City 17,ST10,5000+,$250M+,AM-002,CRM-HubSpot,Analyst Report,GBP,TAX-217951,Contact 00020,contact00020@customer00020.example.com,customer00020.example.com,44,Platinum,False,2021-04-22
CUST-00021,Customer Account 00021 Inc,SMB,Manufacturing,North America,United States,United States City 13,ST47,201-1000,$1M-$10M,AM-076,CRM-Salesforce,Conference,USD,TAX-599677,Contact 00021,contact00021@customer00021.example.com,customer00021.example.com,15,Standard,False,2022-07-25
CUST-00022,Customer Account 00022 Inc,SMB,Telecom,North America,United States,United States City 8,ST46,1001-5000,$250M+,AM-035,CRM-HubSpot,Customer Referral,GBP,TAX-116053,Contact 00022,contact00022@customer00022.example.com,customer00022.example.com,67,Gold,False,2021-04-09
CUST-00023,Customer Account 00023 Inc,SMB,Logistics,North America,Canada,Canada City 37,ST43,1001-5000,$50M-$250M,AM-023,CRM-Salesforce,Customer Referral,GBP,TAX-483293,Contact 00023,contact00023@customer00023.example.com,customer00023.example.com,12,Gold,False,2022-08-10
CUST-00024,Customer Account 00024 Inc,SMB,Healthcare,North America,United States,United States City 33,ST41,5000+,<$1M,AM-070,CRM-HubSpot,None,USD,TAX-231555,Contact 00024,contact00024@customer00024.example.com,customer00024.example.com,20,Standard,False,2023-01-13
CUST-00025,Customer Account 00025 Inc,Mid-Market,Financial Services,APAC,Japan,Japan City 23,ST08,201-1000,<$1M,AM-043,CRM-Salesforce,None,USD,TAX-257177,Contact 00025,contact00025@customer00025.example.com,customer00025.example.com,84,Silver,False,2021-02-18
CUST-00026,Customer Account 00026 Inc,Mid-Market,Retail,North America,Mexico,Mexico City 29,ST43,1001-5000,$250M+,AM-043,CRM-Salesforce,None,GBP,TAX-313070,Contact 00026,contact00026@customer00026.example.com,customer00026.example.com,23,Silver,False,2021-08-13
CUST-00027,Customer Account 00027 Inc,Mid-Market,Retail,North America,United States,United States City 35,ST05,1-50,$250M+,AM-009,Manual-Import,None,EUR,TAX-189201,Contact 00027,contact00027@customer00027.example.com,customer00027.example.com,84,Platinum,False,2023-01-30
CUST-00028,Customer Account 00028 Inc,SMB,Education,APAC,Japan,Japan City 25,ST39,1001-5000,<$1M,AM-066,CRM-Salesforce,Customer Referral,GBP,TAX-871814,Contact 00028,contact00028@customer00028.example.com,customer00028.example.com,84,Standard,False,2022-02-21
CUST-00029,Customer Account 00029 Inc,Mid-Market,Financial Services,North America,United States,United States City 7,ST21,1001-5000,$1M-$10M,AM-027,CRM-Salesforce,Partner,EUR,TAX-394745,Contact 00029,contact00029@customer00029.example.com,customer00029.example.com,44,Silver,False,2021-12-08
CUST-00030,Customer Account 00030 Inc,Mid-Market,Telecom,LATAM,Chile,Chile City 31,ST17,201-1000,$10M-$50M,AM-076,CRM-HubSpot,Conference,USD,TAX-823951,Contact 00030,contact00030@customer00030.example.com,customer00030.example.com,56,Silver,False,2022-04-25
CUST-00031,Customer Account 00031 Inc,SMB,Healthcare,EMEA,United Kingdom,United Kingdom City 20,ST43,5000+,<$1M,AM-076,CRM-Salesforce,Analyst Report,EUR,TAX-753143,Contact 00031,contact00031@customer00031.example.com,customer00031.example.com,59,Platinum,False,2021-03-18
CUST-00032,Customer Account 00032 Inc,SMB,Professional Services,LATAM,Brazil,Brazil City 18,ST39,5000+,$50M-$250M,AM-074,CRM-Salesforce,Conference,EUR,TAX-631067,Contact 00032,contact00032@customer00032.example.com,customer00032.example.com,6,Silver,False,2021-03-27
CUST-00033,Customer Account 00033 Inc,Mid-Market,Logistics,EMEA,United Kingdom,United Kingdom City 27,ST26,1001-5000,$50M-$250M,AM-073,CRM-Salesforce,Analyst Report,USD,TAX-639633,Contact 00033,contact00033@customer00033.example.com,customer00033.example.com,14,Standard,False,2023-04-19
